icd10_3,Deaths,Percentage,cause_description
V13,27,0.013812366672293927,"Ciclista traumatizado em colisão com um automóvel, ""pick up"" ou caminhonete"
V54,27,0.013812366672293927,Ocupante de uma caminhonete traumatizado em colisão com um veículo de transporte pesado ou um ônibus
A39,26,0.01330079753628304,Infecção meningogócica
G06,26,0.01330079753628304,Abscesso e granuloma intracranianos e intra-raquidianos
I95,26,0.01330079753628304,Hipotensão
K37,26,0.01330079753628304,"Apendicite, sem outras especificações"
O62,26,0.01330079753628304,Anormalidades da contração uterina
X71,26,0.01330079753628304,Lesão autoprovocada intencionalmente por afogamento e submersão
X76,26,0.01330079753628304,"Lesão autoprovocada intencionalmente pela fumaça, pelo fogo e por chamas"
A19,25,0.012789228400272155,Tuberculose miliar
B00,25,0.012789228400272155,Infecções pelo vírus do herpes [herpes simples]
C37,25,0.012789228400272155,Neoplasia maligna do timo
I06,25,0.012789228400272155,Doenças reumáticas da valva aórtica
N49,25,0.012789228400272155,"Transtornos inflamatórios de órgãos genitais masculinos, não classificados em outra parte"
X78,25,0.012789228400272155,Lesão autoprovocada intencionalmente por objeto cortante ou penetrante
C08,24,0.012277659264261269,Neoplasia maligna de outras glândulas salivares maiores e as não especificadas
I89,24,0.012277659264261269,Outros transtornos não-infecciosos dos vasos linfáticos e dos gânglios linfáticos
J06,24,0.012277659264261269,Infecções agudas das vias aéreas superiores de localizações múltiplas e não especificadas
K73,24,0.012277659264261269,Hepatite crônica não classificada em outra parte
N32,24,0.012277659264261269,Outros transtornos da bexiga
N76,24,0.012277659264261269,Outras afecções inflamatórias da vagina e da vulva
G45,23,0.011766090128250382,Acidentes vasculares cerebrais isquêmicos transitórios e síndromes correlatas
I81,23,0.011766090128250382,Trombose da veia porta
J68,23,0.011766090128250382,"Afecções respiratórias devidas a inalação de produtos químicos, gases, fumaças e vapores"
X97,23,0.011766090128250382,"Agressão por meio de fumaça, fogo e chamas"
A92,22,0.011254520992239496,Outras febres virais transmitidas por mosquitos
C04,22,0.011254520992239496,Neoplasia maligna do assoalho da boca
C30,22,0.011254520992239496,Neoplasia maligna da cavidade nasal e do ouvido médio
D39,22,0.011254520992239496,Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais femininos
G96,22,0.011254520992239496,Outros transtornos do sistema nervoso central
M19,22,0.011254520992239496,Outras artroses
R64,22,0.011254520992239496,Caquexia
Y21,22,0.011254520992239496,"Afogamento e submersão, intenção não determinada"
A08,21,0.01074295185622861,"Infecções intestinais virais, outras e as não especificadas"
